"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"_ZN2at6native12_GLOBAL__N_143distribution_elementwise_grid_stride_kernelIfLi4EZNS0_9templates4cuda20normal_and_transformIN3c104HalfEfLm4EPNS_17CUDAGeneratorImplEZZZNS4_13normal_kernelIS9_EEvRKNS_10TensorBaseEddT_ENKUlvE_clEvENKUlvE1_clEvEUlfE_EEvRNS_18TensorIteratorBaseET2_T3_EUlP25hiprandStatePhilox4_32_10E0_ZNS1_27distribution_nullary_kernelIS7_fLi4ES9_SO_SH_EEvSJ_SK_RKSL_T4_EUlifE_EEviNS_15PhiloxCudaStateET1_SK_.kd",4,0,0,429301,429301,225280,256,0,0,48,0,32,64,"0x0","0x7fd92b5a8e00",5942917592473556,5942917592900356,5942917593304039,5942917593351614,403683
1,"softmax_kernel_0d1d2d3d4d.kd",4,0,1,429301,429301,683520,512,1024,1492,128,0,64,64,"0x0","0x7fd92b3c8580",5942922131410934,5942922131765856,5942922134554354,5942922134604669,2788498
2,"softmax_kernel_0d1d2d3d4d.kd",4,0,2,429301,429301,683520,512,1024,1492,128,0,64,64,"0x0","0x7fd92b3c8580",5942922131699342,5942922134797875,5942922137570373,5942922137608339,2772498
3,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<8, c10::Half, float, c10::Half, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(c10::Half*, c10::Half*, int) [clone .kd]",4,0,3,429301,429301,683520,512,2048,0,64,0,48,64,"0x0","0x7fd916e6db00",5942922148410479,5942922148442603,5942922148982606,5942922149014425,540003
4,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<8, c10::Half, float, c10::Half, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(c10::Half*, c10::Half*, int) [clone .kd]",4,0,4,429301,429301,683520,512,2048,0,64,0,48,64,"0x0","0x7fd916e6db00",5942922148563575,5942922148982606,5942922149521810,5942922149551948,539204
5,"void at::native::modern::elementwise_kernel<at::native::BinaryFunctor<c10::Half, c10::Half, bool, at::native::(anonymous namespace)::CompareEqFunctor<c10::Half> >, at::detail::Array<char*, 3> >(int, at::native::BinaryFunctor<c10::Half, c10::Half, bool, at::native::(anonymous namespace)::CompareEqFunctor<c10::Half> >, at::detail::Array<char*, 3>) [clone .kd]",4,0,5,429301,429301,16788992,256,0,0,16,0,32,64,"0x0","0x7fd916b2d600",5942922154699314,5942922154722964,5942922154996085,5942922155024371,273121
6,"void at::native::modern::elementwise_kernel<at::native::AUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>) [clone .kd]",4,0,6,429301,429301,16788992,256,0,0,8,0,16,64,"0x0","0x7fd9169296c0",5942922160147983,5942922160172919,5942922160424920,5942922160453503,252001
7,"void at::native::modern::elementwise_kernel<at::native::AbsFunctor<c10::Half>, at::detail::Array<char*, 2> >(int, at::native::AbsFunctor<c10::Half>, at::detail::Array<char*, 2>) [clone .kd]",4,0,7,429301,429301,16788992,256,0,0,8,0,16,64,"0x0","0x7fd92b1cf100",5942922162530645,5942922162553574,5942922162784936,5942922162814054,231362
8,"void at::native::modern::elementwise_kernel<at::native::CUDAFunctorOnSelf_add<c10::Half>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<c10::Half>, at::detail::Array<char*, 2>) [clone .kd]",4,0,8,429301,429301,16788992,256,0,0,8,0,32,64,"0x0","0x7fd91463d400",5942922170674729,5942922170700347,5942922170965948,5942922170967666,265601
9,"void at::native::modern::elementwise_kernel<at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char*, 3> >(int, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char*, 3>) [clone .kd]",4,0,9,429301,429301,16788992,256,0,0,16,0,16,64,"0x0","0x7fd91463d540",5942922170752184,5942922170965948,5942922171309151,5942922171337375,343203
10,"void at::native::modern::elementwise_kernel<at::native::AbsFunctor<c10::Half>, at::detail::Array<char*, 2> >(int, at::native::AbsFunctor<c10::Half>, at::detail::Array<char*, 2>) [clone .kd]",4,0,10,429301,429301,16788992,256,0,0,8,0,16,64,"0x0","0x7fd92b1cf100",5942922170791958,5942922171309151,5942922171509632,5942922171511310,200481
11,"void at::native::modern::elementwise_kernel<at::native::AbsFunctor<c10::Half>, at::detail::Array<char*, 2> >(int, at::native::AbsFunctor<c10::Half>, at::detail::Array<char*, 2>) [clone .kd]",4,0,11,429301,429301,16788992,256,0,0,8,0,16,64,"0x0","0x7fd92b1cf100",5942922170827354,5942922171509632,5942922171711873,5942922171713707,202241
12,"void at::native::modern::elementwise_kernel<at::native::AUnaryFunctor<c10::Half, c10::Half, bool, at::native::(anonymous namespace)::CompareEqFunctor<c10::Half> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<c10::Half, c10::Half, bool, at::native::(anonymous namespace)::CompareEqFunctor<c10::Half> >, at::detail::Array<char*, 2>) [clone .kd]",4,0,12,429301,429301,16788992,256,0,0,8,0,32,64,"0x0","0x7fd916b2d740",5942922170873861,5942922171711873,5942922171878914,5942922171879937,167041
