"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"_ZN2at6native12_GLOBAL__N_143distribution_elementwise_grid_stride_kernelIfLi4EZNS0_9templates4cuda20normal_and_transformIN3c104HalfEfLm4EPNS_17CUDAGeneratorImplEZZZNS4_13normal_kernelIS9_EEvRNS_6TensorEddT_ENKUlvE_clEvENKUlvE4_clEvEUlfE_EEvRNS_18TensorIteratorBaseET2_T3_EUlP25hiprandStatePhilox4_32_10E0_ZNS1_27distribution_nullary_kernelIS7_fLi4ES9_SN_SG_EEvSI_SJ_RKSK_T4_EUlifE_EEviNS_15PhiloxCudaStateET1_SJ_.kd",4,0,0,26709,26709,225280,256,0,0,32,0,64,64,"0x0","0x7f2fbf2eb9c0",4325580942163754,4325580942228656,4325580942274256,4325580942290981,45600
1,"_ZN2at6native12_GLOBAL__N_143distribution_elementwise_grid_stride_kernelIfLi4EZNS0_9templates4cuda20normal_and_transformIN3c104HalfEfLm4EPNS_17CUDAGeneratorImplEZZZNS4_13normal_kernelIS9_EEvRNS_6TensorEddT_ENKUlvE_clEvENKUlvE4_clEvEUlfE_EEvRNS_18TensorIteratorBaseET2_T3_EUlP25hiprandStatePhilox4_32_10E0_ZNS1_27distribution_nullary_kernelIS7_fLi4ES9_SN_SG_EEvSI_SJ_RKSK_T4_EUlifE_EEviNS_15PhiloxCudaStateET1_SJ_.kd",4,0,1,26709,26709,225280,256,0,0,32,0,64,64,"0x0","0x7f2fbf2eb9c0",4325580942406277,4325580942429296,4325580942474736,4325580942476879,45440
2,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,2,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580966310644,4325580966350751,4325580966411551,4325580966413175,60800
3,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,5,26709,26709,16000000,256,0,0,4,4,16,64,"0x0","0x7f2fbf0d4440",4325580969740529,4325580969769314,4325580969950114,4325580969951753,180800
4,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,6,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580969881602,4325580969950114,4325580970012354,4325580970013438,62240
5,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,7,26709,26709,16000000,256,0,0,4,4,16,64,"0x0","0x7f2fbf0d4440",4325580969907150,4325580970012354,4325580970194754,4325580970204104,182400
6,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,8,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580969984494,4325580970194754,4325580970251074,4325580970252184,56320
7,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,9,26709,26709,16000000,256,0,0,4,4,16,64,"0x0","0x7f2fbf0d4440",4325580970002047,4325580970251074,4325580970435394,4325580970436518,184320
8,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,10,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580970077067,4325580970435394,4325580970488194,4325580970489166,52800
9,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,11,26709,26709,16000000,256,0,0,4,4,16,64,"0x0","0x7f2fbf0d4440",4325580970093097,4325580970488194,4325580970670274,4325580970671417,182080
10,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,12,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580970162997,4325580970670274,4325580970723234,4325580970724295,52960
11,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,13,26709,26709,16000000,256,0,0,4,4,16,64,"0x0","0x7f2fbf0d4440",4325580970177033,4325580970723234,4325580970901634,4325580970902608,178400
12,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,14,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580970292459,4325580970901634,4325580970955074,4325580970956128,53440
13,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,16,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580971274453,4325580971299395,4325580971354435,4325580971355855,55040
14,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,17,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580971354262,4325580971394275,4325580971431715,4325580971432588,37440
15,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,18,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580971452315,4325580971473955,4325580971511555,4325580971512557,37600
16,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,19,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580971528116,4325580971544515,4325580971582435,4325580971583310,37920
17,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,20,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580971596234,4325580971612515,4325580971649315,4325580971650104,36800
18,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,21,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580971662678,4325580971678595,4325580971715395,4325580971716288,36800
19,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,22,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580971728481,4325580971744515,4325580971780035,4325580971780908,35520
20,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,23,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580971795776,4325580971816675,4325580971852195,4325580971853223,35520
21,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,24,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580971869424,4325580971885315,4325580971920995,4325580971921822,35680
22,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,25,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580971935257,4325580971951075,4325580971986755,4325580971987494,35680
23,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,26,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580972004917,4325580972020835,4325580972056355,4325580972057295,35520
24,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,27,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580972070179,4325580972085795,4325580972121315,4325580972122206,35520
25,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,28,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580972135571,4325580972151235,4325580972186915,4325580972187838,35680
26,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,29,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580972201193,4325580972216835,4325580972252515,4325580972253330,35680
27,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,30,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580972266014,4325580972281795,4325580972317475,4325580972318262,35680
28,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,31,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580972331036,4325580972347235,4325580972382755,4325580972383644,35520
29,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,32,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580972396818,4325580972412515,4325580972448195,4325580972449026,35680
30,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,33,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580972461910,4325580972483395,4325580972519235,4325580972520149,35840
31,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,34,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580972534546,4325580972550276,4325580972585796,4325580972586613,35520
32,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,35,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580972600278,4325580972616036,4325580972651716,4325580972652716,35680
33,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,36,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580972665290,4325580972680996,4325580972716676,4325580972717497,35680
34,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,37,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580972729750,4325580972745476,4325580972780996,4325580972781837,35520
35,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,38,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580972794772,4325580972810436,4325580972846596,4325580972847420,36160
36,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,39,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580972859913,4325580972881636,4325580972917316,4325580972918322,35680
37,"matmul_kernel_with_block_pointers_0d1d2d3d4d5d6d7c8d9c10d11c.kd",4,0,40,26709,26709,4096,256,65536,0,4,196,48,64,"0x0","0x7f2fbf2986c0",4325580972933310,4325580972949156,4325580972984676,4325580972985678,35520
