"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"_ZN2at6native12_GLOBAL__N_143distribution_elementwise_grid_stride_kernelIfLi4EZNS0_9templates4cuda20normal_and_transformIN3c104HalfEfLm4EPNS_17CUDAGeneratorImplEZZZNS4_13normal_kernelIS9_EEvRNS_6TensorEddT_ENKUlvE_clEvENKUlvE4_clEvEUlfE_EEvRNS_18TensorIteratorBaseET2_T3_EUlP25hiprandStatePhilox4_32_10E0_ZNS1_27distribution_nullary_kernelIS7_fLi4ES9_SN_SG_EEvSI_SJ_RKSK_T4_EUlifE_EEviNS_15PhiloxCudaStateET1_SJ_.kd",4,0,0,22350,22350,4608,256,0,0,32,0,64,64,"0x0","0x7f12cf3bb9c0",4242185329908191,4242185329963504,4242185329975824,4242185329993691,12320
1,"_ZN2at6native12_GLOBAL__N_143distribution_elementwise_grid_stride_kernelIfLi4EZNS0_9templates4cuda20normal_and_transformIN3c104HalfEfLm4EPNS_17CUDAGeneratorImplEZZZNS4_13normal_kernelIS9_EEvRNS_6TensorEddT_ENKUlvE_clEvENKUlvE4_clEvEUlfE_EEvRNS_18TensorIteratorBaseET2_T3_EUlP25hiprandStatePhilox4_32_10E0_ZNS1_27distribution_nullary_kernelIS7_fLi4ES9_SN_SG_EEvSI_SJ_RKSK_T4_EUlifE_EEviNS_15PhiloxCudaStateET1_SJ_.kd",4,0,1,22350,22350,225280,256,0,0,32,0,64,64,"0x0","0x7f12cf3bb9c0",4242185330247034,4242185330264784,4242185330310704,4242185330311905,45920
2,"kernel_0d1d2d.kd",4,0,2,22350,22350,1198080,256,0,0,8,0,16,64,"0x0","0x7f12cf352500",4242185338479886,4242185338512317,4242185338528477,4242185338531503,16160
3,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<c10::Half>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<c10::Half>, at::detail::Array<char*, 1>) [clone .kd]",4,0,3,22350,22350,512,256,0,0,4,4,16,64,"0x0","0x7f12cf1d4bc0",4242185341610632,4242185341638722,4242185341641762,4242185341642893,3040
4,"Cijk_Ailk_Bljk_HHS_BH_MT32x16x64_MI16x16x16x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM4_AF1EM1_AMAS3_ASE_ASGT_ASLT117_ASAE01_ASCE01_ASEM512_AAC0_BL1_BS1_DTL0_DTVA0_DVO0_ETSP_EPS0_FL0_GRPM1_GRVW2_GSU8_GSUAMB_GLS0_ISA90a_IU1_K1_KLA_LBSPP128_LPA2_LPB4_LDL1_LRVW4_LWPMn1_LDW1_FMA_MIAV1_MDA2_MO40_NTA0_NTB0_NTC0_NTD3_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR1_RK0_SIA3_SS0_SU0_SUM0_SUS0_SCIUI1_SPO1_SRVW0_SSO0_SVW4_SNLL0_TT1_16_TLDS1_USFGROn1_VAW1_VSn1_VW4_WSGRA0_WSGRB0_WS64_WG32_4_1_WGM1.kd",4,0,4,22350,22350,33792,128,14848,0,128,0,96,64,"0x0","0x7f020e87a640",4242185565954773,4242185566030591,4242185566053631,4242185566061342,23040
5,"Cijk_H_PostGSU.kd",4,0,5,22350,22350,1280,256,0,0,28,4,64,64,"0x0","0x7f12cf33aac0",4242185566029212,4242185566053631,4242185566060671,4242185566075739,7040
6,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,6,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185574957704,4242185574988523,4242185575034123,4242185575035108,45600
7,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,9,22350,22350,16000000,256,0,0,4,4,16,64,"0x0","0x7f12cf1d4440",4242185575342472,4242185575362923,4242185575543243,4242185575544119,180320
8,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,10,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185575465833,4242185575543243,4242185575581483,4242185575584294,38240
9,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,11,22350,22350,16000000,256,0,0,4,4,16,64,"0x0","0x7f12cf1d4440",4242185575485990,4242185575581483,4242185575761484,4242185575762226,180001
