"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"_ZN2at6native12_GLOBAL__N_143distribution_elementwise_grid_stride_kernelIfLi4EZNS0_9templates4cuda20normal_and_transformIN3c104HalfEfLm4EPNS_17CUDAGeneratorImplEZZZNS4_13normal_kernelIS9_EEvRNS_6TensorEddT_ENKUlvE_clEvENKUlvE4_clEvEUlfE_EEvRNS_18TensorIteratorBaseET2_T3_EUlP25hiprandStatePhilox4_32_10E0_ZNS1_27distribution_nullary_kernelIS7_fLi4ES9_SN_SG_EEvSI_SJ_RKSK_T4_EUlifE_EEviNS_15PhiloxCudaStateET1_SJ_.kd",4,0,0,14793,14793,512,256,0,0,32,0,64,64,"0x0","0x7fe40fa1b9c0",1316033349655550,1316033349703103,1316033349715423,1316033349729678,12320
1,"_ZN2at6native12_GLOBAL__N_143distribution_elementwise_grid_stride_kernelIfLi4EZNS0_9templates4cuda20normal_and_transformIN3c104HalfEfLm4EPNS_17CUDAGeneratorImplEZZZNS4_13normal_kernelIS9_EEvRNS_6TensorEddT_ENKUlvE_clEvENKUlvE4_clEvEUlfE_EEvRNS_18TensorIteratorBaseET2_T3_EUlP25hiprandStatePhilox4_32_10E0_ZNS1_27distribution_nullary_kernelIS7_fLi4ES9_SN_SG_EEvSI_SJ_RKSK_T4_EUlifE_EEviNS_15PhiloxCudaStateET1_SJ_.kd",4,0,1,14793,14793,225280,256,0,0,32,0,64,64,"0x0","0x7fe40fa1b9c0",1316033349917409,1316033349940863,1316033349987903,1316033349989844,47040
2,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<float>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<float>, at::detail::Array<char*, 1>) [clone .kd]",4,0,2,14793,14793,1280,256,0,0,4,4,16,64,"0x0","0x7fe40f894300",1316033353121155,1316033353148229,1316033353151589,1316033353153174,3360
3,"Cijk_Ailk_Bljk_HHS_BH_MT64x16x32_MI16x16x16x1_SE_1LDSB0_APM1_ABV0_ACED0_AF0EM8_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_DTL0_DTVA0_DVO0_ETSP_EPS0_FL0_GRPM1_GRVW2_GSU1_GSUAMB_GLS0_ISA90a_IU1_K1_KLA_LBSPP128_LPA0_LPB16_LDL1_LRVW8_LWPMn1_LDW0_MAC_MIAV0_MDA2_MO40_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR2_RK0_SIA3_SS0_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO0_SVW4_SNLL0_TT1_16_TLDS1_USFGROn1_VAW2_VSn1_VW2_WSGRA1_WSGRB1_WS64_WG64_4_1_WGM1.kd",4,0,3,14793,14793,18432,256,13824,0,128,8,80,64,"0x0","0x7fd34e8773c0",1316033581768454,1316033581835682,1316033581855842,1316033581864473,20160
4,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,4,14793,14793,46080,256,16896,0,44,4,32,64,"0x0","0x7fe40f8b6600",1316033590591056,1316033590623218,1316033590635058,1316033590636661,11840
5,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,7,14793,14793,16000000,256,0,0,4,4,16,64,"0x0","0x7fe40f894440",1316033590960697,1316033590986739,1316033591172659,1316033591173684,185920
6,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,8,14793,14793,46080,256,16896,0,44,4,32,64,"0x0","0x7fe40f8b6600",1316033591088365,1316033591172659,1316033591183699,1316033591184795,11040
7,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,9,14793,14793,16000000,256,0,0,4,4,16,64,"0x0","0x7fe40f894440",1316033591118462,1316033591183699,1316033591369620,1316033591370522,185921
8,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,10,14793,14793,46080,256,16896,0,44,4,32,64,"0x0","0x7fe40f8b6600",1316033591199713,1316033591369620,1316033591378100,1316033591386532,8480
9,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,11,14793,14793,16000000,256,0,0,4,4,16,64,"0x0","0x7fe40f894440",1316033591225161,1316033591378100,1316033591562420,1316033591563653,184320
