"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"_ZN2at6native12_GLOBAL__N_143distribution_elementwise_grid_stride_kernelIfLi4EZNS0_9templates4cuda20normal_and_transformIN3c104HalfEfLm4EPNS_17CUDAGeneratorImplEZZZNS4_13normal_kernelIS9_EEvRNS_6TensorEddT_ENKUlvE_clEvENKUlvE4_clEvEUlfE_EEvRNS_18TensorIteratorBaseET2_T3_EUlP25hiprandStatePhilox4_32_10E0_ZNS1_27distribution_nullary_kernelIS7_fLi4ES9_SN_SG_EEvSI_SJ_RKSK_T4_EUlifE_EEviNS_15PhiloxCudaStateET1_SJ_.kd",4,0,0,104412,104412,12288,256,0,0,32,0,64,64,"0x0","0x7f26f0deb9c0",2944841610721744,2944841610769273,2944841610782713,2944841610798568,13440
1,"_ZN2at6native12_GLOBAL__N_143distribution_elementwise_grid_stride_kernelIfLi4EZNS0_9templates4cuda20normal_and_transformIN3c104HalfEfLm4EPNS_17CUDAGeneratorImplEZZZNS4_13normal_kernelIS9_EEvRNS_6TensorEddT_ENKUlvE_clEvENKUlvE4_clEvEUlfE_EEvRNS_18TensorIteratorBaseET2_T3_EUlP25hiprandStatePhilox4_32_10E0_ZNS1_27distribution_nullary_kernelIS7_fLi4ES9_SN_SG_EEvSI_SJ_RKSK_T4_EUlifE_EEviNS_15PhiloxCudaStateET1_SJ_.kd",4,0,1,104412,104412,196608,256,0,0,32,0,64,64,"0x0","0x7f26f0deb9c0",2944841610888375,2944841610909913,2944841610919033,2944841610920636,9120
2,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<float>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<float>, at::detail::Array<char*, 1>) [clone .kd]",4,0,2,104412,104412,256,256,0,0,4,4,16,64,"0x0","0x7f26f0d74300",2944841614034139,2944841614061273,2944841614064313,2944841614065809,3040
3,"Cijk_Ailk_Bljk_HHS_BH_MT128x96x64_MI32x32x8x1_SE_1LDSB0_APM1_ABV0_ACED0_AF0EM8_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_DTL0_DTVA0_DVO0_ETSP_EPS1_FL0_GRPM1_GRVW8_GSU5_GSUAMB_GLS0_ISA90a_IU1_K1_KLA_LBSPP128_LPA0_LPB8_LDL1_LRVW8_LWPMn1_LDW0_MAC_MIAV0_MDA2_MO40_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR1_PLR9_RK0_SIA3_SS0_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO0_SVW4_SNLL0_TT1_96_TLDS1_USFGROn1_VAW1_VSn1_VW2_WSGRA1_WSGRB1_WS64_WG128_2_1_WGM2.kd",4,0,3,104412,104412,1280,256,62976,0,128,176,80,64,"0x0","0x7f16328797c0",2944841840024280,2944841840089974,2944841840159574,2944841840166676,69600
4,"Cijk_H_PostGSU.kd",4,0,4,104412,104412,256,256,0,0,28,4,64,64,"0x0","0x7f26f0beaac0",2944841840089291,2944841840159574,2944841840164694,2944841840185020,5120
5,"Cijk_Ailk_Bljk_HHS_BH_MT128x96x64_MI32x32x8x1_SE_1LDSB0_APM1_ABV0_ACED0_AF0EM8_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_DTL0_DTVA0_DVO0_ETSP_EPS1_FL0_GRPM1_GRVW8_GSU5_GSUAMB_GLS0_ISA90a_IU1_K1_KLA_LBSPP128_LPA0_LPB8_LDL1_LRVW8_LWPMn1_LDW0_MAC_MIAV0_MDA2_MO40_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR1_PLR9_RK0_SIA3_SS0_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO0_SVW4_SNLL0_TT1_96_TLDS1_USFGROn1_VAW1_VSn1_VW2_WSGRA1_WSGRB1_WS64_WG128_2_1_WGM2.kd",4,0,5,104412,104412,1280,256,62976,0,128,176,80,64,"0x0","0x7f16328797c0",2944841840250432,2944841840269174,2944841840312854,2944841840314251,43680
6,"Cijk_H_PostGSU.kd",4,0,6,104412,104412,256,256,0,0,28,4,64,64,"0x0","0x7f26f0beaac0",2944841840263597,2944841840312854,2944841840317814,2944841840325322,4960
7,"Cijk_Ailk_Bljk_HHS_BH_MT128x96x64_MI32x32x8x1_SE_1LDSB0_APM1_ABV0_ACED0_AF0EM8_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_DTL0_DTVA0_DVO0_ETSP_EPS1_FL0_GRPM1_GRVW8_GSU5_GSUAMB_GLS0_ISA90a_IU1_K1_KLA_LBSPP128_LPA0_LPB8_LDL1_LRVW8_LWPMn1_LDW0_MAC_MIAV0_MDA2_MO40_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR1_PLR9_RK0_SIA3_SS0_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO0_SVW4_SNLL0_TT1_96_TLDS1_USFGROn1_VAW1_VSn1_VW2_WSGRA1_WSGRB1_WS64_WG128_2_1_WGM2.kd",4,0,7,104412,104412,1280,256,62976,0,128,176,80,64,"0x0","0x7f16328797c0",2944841840294945,2944841840317814,2944841840361174,2944841840362091,43360
8,"Cijk_H_PostGSU.kd",4,0,8,104412,104412,256,256,0,0,28,4,64,64,"0x0","0x7f26f0beaac0",2944841840304212,2944841840361174,2944841840365974,2944841840380365,4800
9,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,9,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841850277194,2944841850308060,2944841850367100,2944841850368695,59040
10,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,12,104412,104412,16000000,256,0,0,4,4,16,64,"0x0","0x7f26f0d74440",2944841850617559,2944841850635900,2944841850814300,2944841850815198,178400
11,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,13,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841850732404,2944841850814300,2944841850870460,2944841850877034,56160
12,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,14,104412,104412,16000000,256,0,0,4,4,16,64,"0x0","0x7f26f0d74440",2944841850751349,2944841850870460,2944841851052221,2944841851053273,181761
13,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,15,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841850840215,2944841851052221,2944841851106781,2944841851107815,54560
14,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,16,104412,104412,16000000,256,0,0,4,4,16,64,"0x0","0x7f26f0d74440",2944841850859551,2944841851106781,2944841851290461,2944841851291598,183680
15,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,17,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841850941615,2944841851290461,2944841851342621,2944841851343796,52160
16,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,18,104412,104412,16000000,256,0,0,4,4,16,64,"0x0","0x7f26f0d74440",2944841850958836,2944841851342621,2944841851524061,2944841851524964,181440
17,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,19,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841851032945,2944841851524061,2944841851580061,2944841851580968,56000
18,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,20,104412,104412,16000000,256,0,0,4,4,16,64,"0x0","0x7f26f0d74440",2944841851048203,2944841851580061,2944841851759421,2944841851760354,179360
19,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,21,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841851117693,2944841851759421,2944841851815901,2944841851816769,56480
20,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,23,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841852652209,2944841852677662,2944841852733822,2944841852734883,56160
21,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,24,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841852733961,2944841852776862,2944841852816222,2944841852817157,39360
22,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,25,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841852846091,2944841852864702,2944841852904062,2944841852904840,39360
23,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,26,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841852919618,2944841852941982,2944841852981502,2944841852982355,39520
24,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,27,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841852996141,2944841853013022,2944841853050462,2944841853051234,37440
25,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,28,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841853064619,2944841853081022,2944841853120062,2944841853120874,39040
26,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,29,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841853131914,2944841853148222,2944841853186782,2944841853187689,38560
27,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,30,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841853199260,2944841853215422,2944841853252862,2944841853253732,37440
28,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,31,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841853266866,2944841853283102,2944841853320542,2944841853321408,37440
29,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,32,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841853334993,2944841853351422,2944841853390622,2944841853391509,39200
30,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,33,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841853402149,2944841853418142,2944841853457502,2944841853458314,39360
31,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,34,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841853468984,2944841853484702,2944841853523902,2944841853524728,39200
32,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,35,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841853535378,2944841853552062,2944841853589502,2944841853590351,37440
33,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,36,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841853601832,2944841853617822,2944841853655262,2944841853656133,37440
34,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,37,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841853668306,2944841853684222,2944841853721662,2944841853722417,37440
35,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,38,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841853734910,2944841853750942,2944841853788542,2944841853789302,37600
36,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,39,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841853801475,2944841853817982,2944841853855262,2944841853856057,37280
37,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,40,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841853869031,2944841853884702,2944841853921982,2944841853922771,37280
38,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,41,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841853935064,2944841853951582,2944841853989022,2944841853989837,37440
39,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,42,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841854001588,2944841854017662,2944841854055102,2944841854055890,37440
40,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,43,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841854068654,2944841854084542,2944841854121982,2944841854122805,37440
