"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"_ZN2at6native12_GLOBAL__N_143distribution_elementwise_grid_stride_kernelIfLi4EZNS0_9templates4cuda20normal_and_transformIN3c104HalfEfLm4EPNS_17CUDAGeneratorImplEZZZNS4_13normal_kernelIS9_EEvRNS_6TensorEddT_ENKUlvE_clEvENKUlvE4_clEvEUlfE_EEvRNS_18TensorIteratorBaseET2_T3_EUlP25hiprandStatePhilox4_32_10E0_ZNS1_27distribution_nullary_kernelIS7_fLi4ES9_SN_SG_EEvSI_SJ_RKSK_T4_EUlifE_EEviNS_15PhiloxCudaStateET1_SJ_.kd",4,0,0,104683,104683,512,256,0,0,32,0,64,64,"0x0","0x7fe6c5cbb9c0",2946754647220444,2946754647268377,2946754647279417,2946754647294261,11040
1,"_ZN2at6native12_GLOBAL__N_143distribution_elementwise_grid_stride_kernelIfLi4EZNS0_9templates4cuda20normal_and_transformIN3c104HalfEfLm4EPNS_17CUDAGeneratorImplEZZZNS4_13normal_kernelIS9_EEvRNS_6TensorEddT_ENKUlvE_clEvENKUlvE4_clEvEUlfE_EEvRNS_18TensorIteratorBaseET2_T3_EUlP25hiprandStatePhilox4_32_10E0_ZNS1_27distribution_nullary_kernelIS7_fLi4ES9_SN_SG_EEvSI_SJ_RKSK_T4_EUlifE_EEviNS_15PhiloxCudaStateET1_SJ_.kd",4,0,1,104683,104683,225280,256,0,0,32,0,64,64,"0x0","0x7fe6c5cbb9c0",2946754647457456,2946754647480537,2946754647527577,2946754647528850,47040
2,"kernel_0d1d2d.kd",4,0,2,104683,104683,368640,256,0,0,8,0,16,64,"0x0","0x7fe6c5c16500",2946754655148136,2946754655177340,2946754655185820,2946754655187860,8480
3,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<float>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<float>, at::detail::Array<char*, 1>) [clone .kd]",4,0,3,104683,104683,1280,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4300",2946754658260147,2946754658285341,2946754658288861,2946754658290834,3520
4,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,4,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754664249661,2946754664278784,2946754664290784,2946754664292932,12000
5,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,7,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754664540514,2946754664557984,2946754664739104,2946754664740728,181120
6,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,8,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754664655739,2946754664739104,2946754664748544,2946754664751287,9440
7,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,9,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754664676969,2946754664748544,2946754664936224,2946754664937876,187680
8,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,10,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754664755856,2946754664936224,2946754664944384,2946754664949768,8160
9,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,11,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754664773589,2946754664944384,2946754665134304,2946754665137729,189920
10,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,12,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754664849440,2946754665134304,2946754665143904,2946754665147587,9600
11,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,13,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754664865611,2946754665143904,2946754665331104,2946754665332432,187200
